rank,site,page,position,impressions,clicks,expected_ctr,potential_clicks,click_gap,priority,notes
210,shecookssheeats.co.uk,https://shecookssheeats.co.uk/how-many-syns-butter/,10.92,240,0,0.01,2.4,2.4,P2,
211,redlighttherapy.expert,https://redlighttherapy.expert/conditions/hair-growth-studies/,13.63,239,0,0.01,2.39,2.39,P2,
212,catchment.school,https://catchment.school/council/solihull/,9.79,146,2,0.03,2.38,0.38,P1,
213,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/prunes/,6.61,179,3,0.03,2.37,-0.63,P1,
214,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/medjool-dates/,7.32,178,3,0.03,2.34,-0.66,P1,
215,redlighttherapy.expert,https://redlighttherapy.expert/lumebox-review/,12.19,632,4,0.01,2.32,-1.68,P2,
216,redlighttherapy.expert,https://redlighttherapy.expert/conditions/hair-growth/,14.78,230,0,0.01,2.3,2.3,P2,
217,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-chicken-goujons/,6.7,108,1,0.03,2.24,1.24,P1,
218,waterhard.uk,https://waterhard.uk/county/norfolk/,5.82,141,2,0.03,2.23,0.23,P1,
219,drugnote.com,https://drugnote.com/compare/cyclobenzaprine-vs-diclofenac/,6.5,107,1,0.03,2.21,1.21,P1,
220,redlighttherapy.expert,https://redlighttherapy.expert/hooga-review/,19.1,216,0,0.01,2.16,2.16,P2,
221,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/nature-valley-bar/,8.69,171,3,0.03,2.13,-0.87,P1,
222,redlighttherapy.expert,https://redlighttherapy.expert/dennis-gross-mask-review/,19.7,211,0,0.01,2.11,2.11,P2,
223,nomadranker.com,https://nomadranker.com/cities/chiang-mai/cost-of-living/,10.43,210,0,0.01,2.1,2.1,P2,
224,redlighttherapy.expert,https://redlighttherapy.expert/dpl-review/,10.61,208,0,0.01,2.08,2.08,P2,
225,nomadranker.com,https://nomadranker.com/cities/da-nang/cost-of-living/,10.35,199,0,0.01,1.99,1.99,P2,
226,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-rice-cakes/,12.94,495,3,0.01,1.95,-1.05,P2,
227,redlighttherapy.expert,https://redlighttherapy.expert/bestqool-review/,19.15,294,1,0.01,1.94,0.94,P2,
228,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-gordons-pink-gin/,17.95,291,1,0.01,1.91,0.91,P2,
229,sunnypatel.co.uk,https://sunnypatel.co.uk/services/seo-wokingham,11.85,191,0,0.01,1.91,1.91,P2,
230,sunnypatel.co.uk,https://sunnypatel.co.uk/blog/how-long-does-seo-take/,13.77,187,0,0.01,1.87,1.87,P2,
231,colourlabelprinter.com,https://colourlabelprinter.com/best-printer-for-infrequent-use/#top-5-printers-for-infrequent-use,10.23,185,0,0.01,1.85,1.85,P2,"anchor-fragment (consolidate, not own title)"
232,shecookssheeats.co.uk,https://shecookssheeats.co.uk/how-many-syns-in-a-slice-of-white-bread/,18.49,180,0,0.01,1.8,1.8,P2,
233,sunnypatel.co.uk,https://sunnypatel.co.uk/services/google-algorithm-update-recovery/,19.93,178,0,0.01,1.78,1.78,P2,
234,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/milk/,11.76,376,2,0.01,1.76,-0.24,P2,
235,waterhard.uk,https://waterhard.uk/area/york/,9.81,125,2,0.03,1.75,-0.25,P1,
236,sunnypatel.co.uk,https://sunnypatel.co.uk/blog/how-many-keywords,19.64,173,0,0.01,1.73,1.73,P2,
237,rentalyield.uk,https://rentalyield.uk/buy-to-let/bradford/,10.16,172,0,0.01,1.72,1.72,P2,
238,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-chips/,13.38,269,1,0.01,1.69,0.69,P2,
239,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/rice-cakes/,11.88,267,1,0.01,1.67,0.67,P2,
240,formhq.org,https://formhq.org/insurance/cleaning-business/california/,16.67,167,0,0.01,1.67,1.67,P2,
241,shecookssheeats.co.uk,https://shecookssheeats.co.uk/how-many-syns-artificial-sweetener/,11.5,266,1,0.01,1.66,0.66,P2,
242,catchment.school,https://catchment.school/area/milton-keynes/,8.7,121,2,0.03,1.63,-0.37,P1,
243,shecookssheeats.co.uk,https://shecookssheeats.co.uk/cuppa-soups-syn-free/,12.14,162,0,0.01,1.62,1.62,P2,
244,shecookssheeats.co.uk,https://shecookssheeats.co.uk/light-coconut-milk-syns/,13.49,162,0,0.01,1.62,1.62,P2,
245,catchment.school,https://catchment.school/council/cheshire-west-and-chester/,8.76,119,2,0.03,1.57,-0.43,P1,
246,salarydata.co.uk,https://salarydata.co.uk/salary/content-manager/,16.26,156,0,0.01,1.56,1.56,P2,
247,waterhard.uk,https://waterhard.uk/bn1/,5.67,118,2,0.03,1.54,-0.46,P1,
248,redlighttherapy.expert,https://redlighttherapy.expert/clearlight-review/,15.22,153,0,0.01,1.53,1.53,P2,
249,shecookssheeats.co.uk,https://shecookssheeats.co.uk/how-many-syns-quavers/,11.87,147,0,0.01,1.47,1.47,P2,
250,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-snack-jacks/,10.63,246,1,0.01,1.46,0.46,P2,
251,colourlabelprinter.com,https://colourlabelprinter.com/best-printer-for-infrequent-use/#laser-vs-inkjet-for-occasional-use,10.33,144,0,0.01,1.44,1.44,P2,"anchor-fragment (consolidate, not own title)"
252,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-savoury-rice/,18.6,242,1,0.01,1.42,0.42,P2,
253,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-bourbon-biscuit/,11.15,238,1,0.01,1.38,0.38,P2,
254,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/philadelphia/,10.52,335,2,0.01,1.35,-0.65,P2,
255,redlighttherapy.expert,https://redlighttherapy.expert/conditions/eyebrow-growth/,10.97,134,0,0.01,1.34,1.34,P2,
256,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-canderel-sweetener/,9.7,110,2,0.03,1.3,-0.7,P1,
257,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns/crackers/,11.51,227,1,0.01,1.27,0.27,P2,
258,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-porridge-pots/,16.06,225,1,0.01,1.25,0.25,P2,
259,redlighttherapy.expert,https://redlighttherapy.expert/deluxeskin-mask-review/,12.66,125,0,0.01,1.25,1.25,P2,
260,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-blueberries/,10.02,224,1,0.01,1.24,0.24,P2,
261,colourlabelprinter.com,https://colourlabelprinter.com/best-3d-printer-for-kids/,15.48,123,0,0.01,1.23,1.23,P2,
262,rentalyield.uk,https://rentalyield.uk/buy-to-let/stoke-on-trent,16.14,121,0,0.01,1.21,1.21,P2,
263,sunnypatel.co.uk,https://sunnypatel.co.uk/services/woocommerce-seo-consultant,15.65,117,0,0.01,1.17,1.17,P2,
264,waterhard.uk,https://waterhard.uk/ox2/,6.63,105,2,0.03,1.15,-0.85,P1,
265,rentalyield.uk,https://rentalyield.uk/buy-to-let/nottingham,18.0,112,0,0.01,1.12,1.12,P2,
266,shecookssheeats.co.uk,https://shecookssheeats.co.uk/bananas-syn/,18.86,110,0,0.01,1.1,1.1,P2,
267,salarydata.co.uk,https://salarydata.co.uk/location/cardiff/,19.04,210,1,0.01,1.1,0.1,P2,
268,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-pataks-curry-paste/,7.47,103,2,0.03,1.09,-0.91,P1,
269,shecookssheeats.co.uk,https://shecookssheeats.co.uk/best/walkers-crisps-slimming-world/,14.38,108,0,0.01,1.08,1.08,P2,
270,salarydata.co.uk,https://salarydata.co.uk/company/astrazeneca/salaries/,8.99,102,2,0.03,1.06,-0.94,P1,
271,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-popcorn-kernels/,17.37,204,1,0.01,1.04,0.04,P2,
272,bestvibrationplates.co.uk,https://bestvibrationplates.co.uk/vibration-plate-g-force-explained-guide/,13.23,103,0,0.01,1.03,1.03,P2,
273,nomadranker.com,https://nomadranker.com/cities/abidjan/,14.27,102,0,0.01,1.02,1.02,P2,
274,colourlabelprinter.com,https://colourlabelprinter.com/best-printer-for-infrequent-use/#why-infrequent-printing-kills-inkjets,10.4,101,0,0.01,1.01,1.01,P2,"anchor-fragment (consolidate, not own title)"
275,waterhard.uk,https://waterhard.uk/ng80/,5.83,100,2,0.03,1.0,-1.0,P1,
276,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-oat-so-simple-sachets/,14.9,194,1,0.01,0.94,-0.06,P2,
277,shecookssheeats.co.uk,https://shecookssheeats.co.uk/how-many-syns-in-tesco-rice-cakes/,18.86,188,1,0.01,0.88,-0.12,P2,
278,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-tilda-basmati-rice/,11.69,170,1,0.01,0.7,-0.3,P2,
279,deadhangs.com,https://deadhangs.com/,11.79,167,1,0.01,0.67,-0.33,P2,
280,shecookssheeats.co.uk,https://shecookssheeats.co.uk/syns-hellmans-light-mayonnaise/,12.96,166,1,0.01,0.66,-0.34,P2,
281,planningleads.org,https://planningleads.org/planning/reading/,15.43,161,1,0.01,0.61,-0.39,P2,
